participant_id,survey_type,age,gender,race,zip_code,education_level,income
Participant 1414,online,64.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$100,000 or more"
Participant 1415,online,40.0,A man,White / Caucasian,83702.0,"Some college, no degree","$50,000 to $74,999"
Participant 1416,online,45.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1417,online,58.0,A woman,White / Caucasian,83706.0,Associates degree,"$50,000 to $74,999"
Participant 1418,online,43.0,A man,White / Caucasian,83714.0,Associates degree,"$50,000 to $74,999"
Participant 1419,online,55.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$75,000 to $99,999"
Participant 142,in_person,56.0,A woman,White / Caucasian,83703.0,Bachelor’s degree,"$100,000 or more"
Participant 142,online,53.0,A woman,White / Caucasian,83687.0,"Some college, no degree","$100,000 or more"
Participant 1420,online,54.0,A man,White / Caucasian,83712.0,"Some college, no degree","$75,000 to $99,999"
Participant 1421,online,28.0,A man,Hispanic or Latino,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1422,online,70.0,A man,White / Caucasian,83705.0,"Some college, no degree","$100,000 or more"
Participant 1423,online,33.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1424,online,54.0,A woman,,83712.0,Associates degree,"$100,000 or more"
Participant 1425,online,60.0,A man,White / Caucasian,83706.0,"Some college, no degree","$100,000 or more"
Participant 1426,online,27.0,A man,Hispanic or Latino,83704.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1427,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1428,online,56.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$100,000 or more"
Participant 1429,online,78.0,A man,White / Caucasian,84705.0,Associates degree,"$25,000 to $49,999"
Participant 143,in_person,24.0,A man,Hispanic or Latino,83646.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 143,online,46.0,A woman,White / Caucasian,83686.0,"Some college, no degree","$50,000 to $74,999"
Participant 1430,online,18.0,A woman,White / Caucasian,83616.0,8th grade or less,"$100,000 or more"
Participant 1431,online,44.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1432,online,35.0,A man,White / Caucasian,83714.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1433,online,50.0,A man,White / Caucasian,83703.0,"Some college, no degree","$100,000 or more"
Participant 1434,online,32.0,A woman,White / Caucasian,83714.0,Associates degree,"$100,000 or more"
Participant 1435,online,26.0,A woman,White / Caucasian,83709.0,"Some high school, no diploma","$25,000 or less"
Participant 1436,online,18.0,A man,White / Caucasian,,8th grade or less,"$75,000 to $99,999"
Participant 1437,online,39.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$100,000 or more"
Participant 1438,online,60.0,A man,White / Caucasian,83712.0,Associates degree,"$75,000 to $99,999"
Participant 1439,online,37.0,A man,White / Caucasian,83646.0,Associates degree,"$50,000 to $74,999"
Participant 144,in_person,36.0,A man,White / Caucasian,83642.0,Bachelor’s degree,"$100,000 or more"
Participant 144,online,,,,,,
Participant 1440,online,48.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1441,online,18.0,A man,White / Caucasian,83704.0,8th grade or less,"$50,000 to $74,999"
Participant 1442,online,39.0,A man,White / Caucasian,83704.0,Associates degree,"$25,000 to $49,999"
Participant 1443,online,25.0,A man,Asian / Pacific Islander,83705.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1444,online,60.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1445,online,22.0,A man,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1446,online,44.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$25,000 or less"
Participant 1447,online,21.0,A woman,White / Caucasian,83709.0,8th grade or less,"$25,000 or less"
Participant 1448,online,54.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 or less"
Participant 1449,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,
Participant 145,in_person,37.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$75,000 to $99,999"
Participant 145,online,20.0,A man,White / Caucasian,83646.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1450,online,19.0,A man,White / Caucasian,83646.0,8th grade or less,"$75,000 to $99,999"
Participant 1451,online,36.0,A woman,White / Caucasian,83706.0,Associates degree,"$75,000 to $99,999"
Participant 1452,online,17.0,A woman,Asian / Pacific Islander,83706.0,8th grade or less,"$100,000 or more"
Participant 1453,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1454,online,20.0,A man,White / Caucasian,97870.0,"Some high school, no diploma","$100,000 or more"
Participant 1455,online,22.0,A woman,White / Caucasian,83642.0,8th grade or less,"$75,000 to $99,999"
Participant 1456,online,37.0,A woman,White / Caucasian,83705.0,Associates degree,"$50,000 to $74,999"
Participant 1457,online,57.0,A man,White / Caucasian,83703.0,Associates degree,"$100,000 or more"
Participant 1458,online,27.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$75,000 to $99,999"
Participant 1459,online,41.0,A woman,,83706.0,"Some college, no degree","$75,000 to $99,999"
Participant 146,in_person,25.0,A man,White / Caucasian,83642.0,Associates degree,"$25,000 to $49,999"
Participant 146,online,44.0,A woman,White / Caucasian,83686.0,"Some college, no degree","$100,000 or more"
Participant 1460,online,30.0,A woman,White / Caucasian,83704.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 1461,online,53.0,A woman,White / Caucasian,83616.0,Associates degree,"$75,000 to $99,999"
Participant 1462,online,29.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$25,000 to $49,999"
Participant 1463,online,40.0,A woman,White / Caucasian,83714.0,Associates degree,"$75,000 to $99,999"
Participant 1464,online,52.0,A woman,Hispanic or Latino,83714.0,"Some college, no degree","$50,000 to $74,999"
Participant 1465,online,,,,,,
Participant 1466,online,31.0,A woman,White / Caucasian,83714.0,"Some college, no degree","$100,000 or more"
Participant 1467,online,50.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$75,000 to $99,999"
Participant 1468,online,32.0,A woman,Native American / American Indian or Alaskan Native,83704.0,"High school graduate, diploma or GED","$100,000 or more"
Participant 1469,online,20.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 147,in_person,42.0,A man,,83646.0,"Some college, no degree","$25,000 to $49,999"
Participant 147,online,48.0,A woman,White / Caucasian,8.714,"Some college, no degree","$100,000 or more"
Participant 1470,online,26.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1471,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1472,online,57.0,A man,White / Caucasian,83616.0,Associates degree,"$100,000 or more"
Participant 1473,online,23.0,A man,Hispanic or Latino,83702.0,"Some high school, no diploma","$25,000 or less"
Participant 1474,online,31.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$75,000 to $99,999"
Participant 1475,online,59.0,A woman,White / Caucasian,83714.0,"Some college, no degree","$100,000 or more"
Participant 1476,online,18.0,A woman,Asian / Pacific Islander,83706.0,8th grade or less,"$100,000 or more"
Participant 1477,online,28.0,A woman,White / Caucasian,83647.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1478,online,53.0,A woman,White / Caucasian,83646.0,"Some high school, no diploma","$100,000 or more"
Participant 1479,online,40.0,A man,Asian / Pacific Islander,83705.0,Associates degree,
Participant 148,in_person,28.0,A woman,White / Caucasian,83713.0,"Some college, no degree","$25,000 to $49,999"
Participant 148,online,49.0,A man,Hispanic or Latino,83709.0,Associates degree,"$75,000 to $99,999"
Participant 1480,online,55.0,A woman,White / Caucasian,83669.0,"Some college, no degree","$100,000 or more"
Participant 1481,online,57.0,A woman,White / Caucasian,83706.0,Associates degree,"$100,000 or more"
Participant 1482,online,42.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$75,000 to $99,999"
Participant 1483,online,32.0,A man,White / Caucasian,83709.0,"High school graduate, diploma or GED","$100,000 or more"
Participant 1484,online,39.0,A man,White / Caucasian,83642.0,"Some college, no degree","$25,000 to $49,999"
Participant 1485,online,19.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1486,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 to $49,999"
Participant 1487,online,46.0,A woman,White / Caucasian,,"Some college, no degree","$100,000 or more"
Participant 1488,online,56.0,A man,White / Caucasian,83714.0,Associates degree,"$50,000 to $74,999"
Participant 1489,online,54.0,A woman,White / Caucasian,83646.0,"Some college, no degree","$100,000 or more"
Participant 149,in_person,46.0,A woman,White / Caucasian,83646.0,Bachelor’s degree,"$100,000 or more"
Participant 149,online,33.0,A man,White / Caucasian,83634.0,"Some college, no degree","$100,000 or more"
Participant 1490,online,33.0,A man,Asian / Pacific Islander,83716.0,Associates degree,"$100,000 or more"
Participant 1491,online,44.0,A woman,White / Caucasian,,"Some college, no degree","$100,000 or more"
Participant 1492,online,27.0,A woman,White / Caucasian,83655.0,"Some high school, no diploma","$25,000 or less"
Participant 1493,online,35.0,A man,White / Caucasian,83705.0,"Some college, no degree","$100,000 or more"
Participant 1494,online,48.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1495,online,67.0,A man,White / Caucasian,83646.0,"Some college, no degree","$75,000 to $99,999"
Participant 1496,online,23.0,A woman,White / Caucasian,83651.0,"Some high school, no diploma","$25,000 or less"
Participant 1497,online,58.0,A woman,White / Caucasian,83713.0,Associates degree,"$75,000 to $99,999"
Participant 1498,online,34.0,A woman,White / Caucasian,83703.0,Associates degree,"$75,000 to $99,999"
Participant 1499,online,27.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 15,in_person,,A woman,,83646.0,"High school graduate, diploma or GED",
Participant 15,online,42.0,A man,White / Caucasian,83709.0,"Some college, no degree","$100,000 or more"
Participant 150,in_person,56.0,A man,White / Caucasian,83646.0,Bachelor’s degree,"$100,000 or more"
Participant 150,online,49.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1500,online,41.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1501,online,32.0,A man,White / Caucasian,83714.0,"Some college, no degree","$75,000 to $99,999"
Participant 1502,online,41.0,A woman,White / Caucasian,83646.0,"Some college, no degree","$75,000 to $99,999"
Participant 1503,online,22.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1504,online,57.0,A man,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1505,online,48.0,A man,White / Caucasian,83712.0,"Some college, no degree","$100,000 or more"
Participant 1506,online,59.0,A man,White / Caucasian,83705.0,Associates degree,"$100,000 or more"
Participant 1507,online,61.0,A man,,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1508,online,39.0,A man,White / Caucasian,83686.0,"Some high school, no diploma","$100,000 or more"
Participant 1509,online,52.0,A man,White / Caucasian,83687.0,"Some college, no degree","$75,000 to $99,999"
Participant 151,in_person,26.0,A woman,White / Caucasian,83642.0,Associates degree,"$50,000 to $74,999"
Participant 151,online,24.0,A woman,White / Caucasian,83712.0,"Some college, no degree","$50,000 to $74,999"
Participant 1510,online,70.0,A man,White / Caucasian,83716.0,Associates degree,"$75,000 to $99,999"
Participant 1511,online,,,,,,
Participant 1512,online,44.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$100,000 or more"
Participant 1513,online,44.0,A man,White / Caucasian,83712.0,Associates degree,"$100,000 or more"
Participant 1514,online,41.0,A man,White / Caucasian,83709.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1515,online,23.0,A man,White / Caucasian,83706.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 1516,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$75,000 to $99,999"
Participant 1517,online,29.0,A man,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1518,online,62.0,A woman,Hispanic or Latino,83646.0,Associates degree,"$25,000 to $49,999"
Participant 1519,online,57.0,A man,White / Caucasian,83712.0,"Some college, no degree","$100,000 or more"
Participant 152,in_person,49.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$25,000 to $49,999"
Participant 152,online,24.0,A woman,Black or African American,83686.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 1520,online,28.0,A woman,White / Caucasian,83709.0,Associates degree,"$25,000 to $49,999"
Participant 1521,online,19.0,A woman,Hispanic or Latino,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1522,online,38.0,A woman,White / Caucasian,83642.0,Associates degree,"$75,000 to $99,999"
Participant 1523,online,23.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1524,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 1525,online,32.0,A man,White / Caucasian,83703.0,"Some college, no degree","$25,000 to $49,999"
Participant 1526,online,44.0,A woman,White / Caucasian,83687.0,Associates degree,"$25,000 to $49,999"
Participant 1527,online,59.0,A man,White / Caucasian,83702.0,Associates degree,"$75,000 to $99,999"
Participant 1528,online,61.0,A woman,White / Caucasian,83704.0,"Some college, no degree","$25,000 to $49,999"
Participant 1529,online,29.0,A woman,White / Caucasian,83642.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 153,in_person,65.0,A woman,White / Caucasian,83646.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 153,online,19.0,A man,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1530,online,42.0,A woman,White / Caucasian,83706.0,Associates degree,"$75,000 to $99,999"
Participant 1531,online,31.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1532,online,,,,,,
Participant 1533,online,18.0,A man,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1534,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1535,online,35.0,A woman,White / Caucasian,83634.0,"Some high school, no diploma","$100,000 or more"
Participant 1536,online,24.0,A woman,White / Caucasian,83634.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1537,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 1538,online,,,,,,
Participant 1539,online,33.0,A man,White / Caucasian,83642.0,"Some college, no degree","$50,000 to $74,999"
Participant 154,in_person,76.0,A woman,White / Caucasian,83646.0,Bachelor’s degree,
Participant 154,online,54.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1540,online,56.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$100,000 or more"
Participant 1541,online,20.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1542,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1543,online,22.0,A woman,White / Caucasian,83686.0,"Some high school, no diploma","$75,000 to $99,999"
Participant 1544,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1545,online,18.0,A woman,White / Caucasian,83713.0,8th grade or less,"$100,000 or more"
Participant 1546,online,47.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1547,online,46.0,A woman,White / Caucasian,83713.0,"Some college, no degree","$100,000 or more"
Participant 1548,online,63.0,A man,White / Caucasian,83714.0,Associates degree,
Participant 1549,online,21.0,A woman,White / Caucasian,,"Some high school, no diploma","$25,000 or less"
Participant 155,in_person,49.0,A man,White / Caucasian,83646.0,"Some college, no degree","$100,000 or more"
Participant 155,online,45.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$25,000 to $49,999"
Participant 1550,online,65.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$25,000 to $49,999"
Participant 1551,online,62.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$50,000 to $74,999"
Participant 1552,online,,,,,,
Participant 1553,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$75,000 to $99,999"
Participant 1554,online,27.0,A man,White / Caucasian,,Associates degree,"$25,000 to $49,999"
Participant 1555,online,50.0,A man,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1556,online,,,,,,
Participant 1557,online,34.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$25,000 or less"
Participant 1558,online,49.0,A man,White / Caucasian,83687.0,"Some college, no degree","$50,000 to $74,999"
Participant 1559,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$100,000 or more"
Participant 156,in_person,25.0,A woman,White / Caucasian,83646.0,Bachelor’s degree,"$50,000 to $74,999"
Participant 156,online,29.0,A woman,White / Caucasian,83704.0,"Some college, no degree","$50,000 to $74,999"
Participant 1560,online,34.0,A man,White / Caucasian,83709.0,"Some college, no degree","$50,000 to $74,999"
Participant 1561,online,23.0,A man,Hispanic or Latino,83605.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1562,online,19.0,A man,Hispanic or Latino,83705.0,8th grade or less,"$25,000 to $49,999"
Participant 1563,online,35.0,A woman,Hispanic or Latino,83706.0,"Some college, no degree","$50,000 to $74,999"
Participant 1564,online,35.0,A man,White / Caucasian,83702.0,"Some college, no degree","$25,000 or less"
Participant 1565,online,18.0,A woman,Asian / Pacific Islander,83615.0,8th grade or less,"$25,000 to $49,999"
Participant 1566,online,33.0,A man,White / Caucasian,83712.0,"Some college, no degree","$75,000 to $99,999"
Participant 1567,online,38.0,A man,White / Caucasian,8364.0,"Some high school, no diploma","$100,000 or more"
Participant 1568,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1569,online,22.0,A woman,Hispanic or Latino,83705.0,"Some high school, no diploma","$100,000 or more"
Participant 157,in_person,72.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$50,000 to $74,999"
Participant 157,online,27.0,A man,Asian / Pacific Islander,83706.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1570,online,,,,,,
Participant 1571,online,67.0,A woman,White / Caucasian,83702.0,Associates degree,
Participant 1572,online,62.0,A woman,White / Caucasian,83706.0,Associates degree,"$100,000 or more"
Participant 1573,online,43.0,A woman,White / Caucasian,83835.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1574,online,18.0,A man,White / Caucasian,83669.0,8th grade or less,"$75,000 to $99,999"
Participant 1575,online,61.0,A woman,White / Caucasian,83712.0,"Some college, no degree","$50,000 to $74,999"
Participant 1576,online,54.0,A woman,White / Caucasian,75028.0,Associates degree,"$75,000 to $99,999"
Participant 1577,online,19.0,A man,White / Caucasian,83725.0,8th grade or less,"$75,000 to $99,999"
Participant 1578,online,25.0,A woman,White / Caucasian,83713.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1579,online,18.0,A man,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 158,in_person,45.0,A man,White / Caucasian,83646.0,Master’s degree,"$75,000 to $99,999"
Participant 158,online,62.0,A man,White / Caucasian,83647.0,"Some college, no degree","$50,000 to $74,999"
Participant 1580,online,34.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1581,online,,,,,,
Participant 1582,online,18.0,A woman,White / Caucasian,83725.0,8th grade or less,"$25,000 to $49,999"
Participant 1583,online,32.0,A woman,Hispanic or Latino,83648.0,Associates degree,"$25,000 to $49,999"
Participant 1584,online,18.0,A man,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1585,online,57.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$50,000 to $74,999"
Participant 1586,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 1587,online,51.0,A man,White / Caucasian,83606.0,Associates degree,"$25,000 to $49,999"
Participant 1588,online,49.0,A man,White / Caucasian,83703.0,Associates degree,"$100,000 or more"
Participant 1589,online,31.0,A man,White / Caucasian,83702.0,"Some high school, no diploma","$100,000 or more"
Participant 159,in_person,33.0,A man,White / Caucasian,83642.0,Bachelor’s degree,"$25,000 to $49,999"
Participant 159,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 to $49,999"
Participant 1590,online,21.0,A woman,Asian / Pacific Islander,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1591,online,20.0,A man,White / Caucasian,83702.0,8th grade or less,"$75,000 to $99,999"
Participant 1592,online,70.0,A man,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1593,online,18.0,A woman,White / Caucasian,98004.0,8th grade or less,"$100,000 or more"
Participant 1594,online,58.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$50,000 to $74,999"
Participant 1595,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1596,online,38.0,A woman,White / Caucasian,83714.0,Associates degree,"$100,000 or more"
Participant 1597,online,,,,,,
Participant 1598,online,29.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$75,000 to $99,999"
Participant 1599,online,18.0,A woman,White / Caucasian,83725.0,8th grade or less,"$25,000 or less"
Participant 16,in_person,36.0,A man,White / Caucasian,83709.0,Bachelor’s degree,"$50,000 to $74,999"
Participant 16,online,38.0,A man,White / Caucasian,83706.0,Associates degree,"$100,000 or more"
Participant 160,in_person,40.0,A man,White / Caucasian,83646.0,"Ph.D, M.D., J.D. or similar","$100,000 or more"
Participant 160,online,59.0,A woman,White / Caucasian,83646.0,Associates degree,"$100,000 or more"
Participant 1600,online,45.0,A man,White / Caucasian,83617.0,"Some college, no degree","$50,000 to $74,999"
Participant 1601,online,50.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$75,000 to $99,999"
Participant 1602,online,21.0,A man,White / Caucasian,83709.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1603,online,66.0,A woman,White / Caucasian,83638.0,Associates degree,"$50,000 to $74,999"
Participant 1604,online,31.0,A man,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1605,online,47.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1606,online,,,,,,
Participant 1607,online,50.0,,White / Caucasian,83709.0,Associates degree,"$75,000 to $99,999"
Participant 1608,online,24.0,A man,White / Caucasian,83687.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1609,online,64.0,A man,Hispanic or Latino,83713.0,Associates degree,"$25,000 to $49,999"
Participant 161,in_person,30.0,A man,White / Caucasian,83646.0,Bachelor’s degree,"$100,000 or more"
Participant 161,online,39.0,A woman,,83712.0,"Some college, no degree","$25,000 to $49,999"
Participant 1610,online,65.0,A man,White / Caucasian,83712.0,Associates degree,"$25,000 to $49,999"
Participant 1611,online,48.0,A woman,White / Caucasian,83644.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1612,online,38.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1613,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1614,online,67.0,A man,White / Caucasian,83605.0,"Some college, no degree",
Participant 1615,online,41.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$50,000 to $74,999"
Participant 1616,online,53.0,A woman,White / Caucasian,83644.0,Associates degree,"$75,000 to $99,999"
Participant 1617,online,63.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$75,000 to $99,999"
Participant 1618,online,25.0,A man,White / Caucasian,83704.0,"Some high school, no diploma","$25,000 or less"
Participant 1619,online,18.0,A woman,Hispanic or Latino,83706.0,8th grade or less,"$25,000 or less"
Participant 162,in_person,45.0,A woman,White / Caucasian,83642.0,Associates degree,"$100,000 or more"
Participant 162,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$100,000 or more"
Participant 1620,online,37.0,A man,Asian / Pacific Islander,83706.0,Associates degree,"$75,000 to $99,999"
Participant 1621,online,55.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1622,online,31.0,A woman,White / Caucasian,83703.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1623,online,24.0,A woman,White / Caucasian,83714.0,"Some college, no degree","$25,000 to $49,999"
Participant 1624,online,54.0,A man,White / Caucasian,83704.0,"Some college, no degree","$25,000 to $49,999"
Participant 1625,online,34.0,A woman,,83634.0,8th grade or less,"$50,000 to $74,999"
Participant 1626,online,55.0,A man,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1627,online,20.0,A man,Hispanic or Latino,83713.0,"Some high school, no diploma",
Participant 1628,online,35.0,A man,White / Caucasian,83705.0,"Some college, no degree","$100,000 or more"
Participant 1629,online,,,,,,
Participant 163,in_person,40.0,A man,White / Caucasian,83646.0,Bachelor’s degree,"$75,000 to $99,999"
Participant 163,online,58.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$100,000 or more"
Participant 1630,online,24.0,A woman,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1631,online,25.0,A woman,White / Caucasian,83642.0,"Some high school, no diploma","$25,000 or less"
Participant 1632,online,34.0,A woman,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1633,online,70.0,A man,White / Caucasian,83462.0,Associates degree,"$75,000 to $99,999"
Participant 1634,online,67.0,A man,White / Caucasian,83616.0,Associates degree,"$100,000 or more"
Participant 1635,online,53.0,A woman,White / Caucasian,83687.0,"Some college, no degree","$50,000 to $74,999"
Participant 1636,online,43.0,A woman,White / Caucasian,83634.0,"Some college, no degree","$75,000 to $99,999"
Participant 1637,online,20.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$100,000 or more"
Participant 1638,online,22.0,A woman,White / Caucasian,83709.0,"Some high school, no diploma","$25,000 or less"
Participant 1639,online,50.0,A woman,White / Caucasian,83705.0,"High school graduate, diploma or GED","$100,000 or more"
Participant 164,in_person,41.0,A woman,White / Caucasian,83646.0,Bachelor’s degree,"$75,000 to $99,999"
Participant 164,online,31.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$75,000 to $99,999"
Participant 1640,online,23.0,A woman,White / Caucasian,83702.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1641,online,24.0,A man,White / Caucasian,83709.0,"Some high school, no diploma","$25,000 or less"
Participant 1642,online,34.0,A woman,White / Caucasian,83704.0,Associates degree,"$75,000 to $99,999"
Participant 1643,online,19.0,A man,White / Caucasian,83734.0,8th grade or less,"$25,000 to $49,999"
Participant 1644,online,39.0,A man,White / Caucasian,83709.0,"Some college, no degree","$100,000 or more"
Participant 1645,online,,,,,,
Participant 1646,online,44.0,A woman,White / Caucasian,83716.0,Associates degree,"$50,000 to $74,999"
Participant 1647,online,47.0,A man,White / Caucasian,83705.0,Associates degree,"$25,000 to $49,999"
Participant 1648,online,21.0,A man,White / Caucasian,83705.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1649,online,40.0,A woman,White / Caucasian,83716.0,Associates degree,"$50,000 to $74,999"
Participant 165,in_person,44.0,A woman,White / Caucasian,83646.0,Associates degree,"$25,000 to $49,999"
Participant 165,online,22.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1650,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$100,000 or more"
Participant 1651,online,42.0,A man,White / Caucasian,83686.0,"Some college, no degree","$75,000 to $99,999"
Participant 1652,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1653,online,41.0,A woman,White / Caucasian,83713.0,"Some college, no degree","$100,000 or more"
Participant 1654,online,73.0,A woman,White / Caucasian,83714.0,,
