participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 1372,online,Yes – Please list the activities __________________,Once per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1373,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1374,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1375,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1376,online,Yes – Please list the activities __________________,Daily,4-5 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1377,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1378,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1379,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 138,in_person,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 138,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 1380,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1381,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1382,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1383,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1384,online,Yes – Please list the activities __________________,Daily,4-5 days,No,4 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1385,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1386,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1387,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1388,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 1389,online,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 139,in_person,Yes – Please list the activities __________________,Rarely – A few times during the summer,,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,
Participant 139,online,Yes – Please list the activities __________________,Daily,1 days,No,3 days,Purple – Very Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1390,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Red – Unhealthy,Maroon – Hazardous,
Participant 1391,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1392,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1393,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1394,online,Yes – Please list the activities __________________,A few times per week,6-7 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1395,online,Yes – Please list the activities __________________,Once per week,3 days,No,0 days,Purple – Very Unhealthy,Red – Unhealthy,Air quality information
Participant 1396,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1397,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1398,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1399,online,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 14,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Smoke forecasts
Participant 14,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 140,in_person,Yes – Please list the activities __________________,Daily,3 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 140,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1400,online,,,,,,,,
Participant 1401,online,,,,,,,,
Participant 1402,online,Yes – Please list the activities __________________,Once per week,2 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke forecasts
Participant 1403,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1404,online,,,,,,,,
Participant 1405,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1406,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1407,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1408,online,Yes – Please list the activities __________________,A few times per week,0 days,No,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1409,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 141,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 141,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1410,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1411,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Maroon – Hazardous,Air quality information
Participant 1412,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 1413,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1414,online,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1415,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1416,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1417,online,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 1418,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1419,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 142,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,
Participant 142,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1420,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,3 days,Red – Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1421,online,Yes – Please list the activities __________________,A few times per week,3 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1422,online,No (skip to question 11),,6-7 days,No,0 days,Red – Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 1423,online,Yes – Please list the activities __________________,Once per week,1 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1424,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1425,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1426,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1427,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1428,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1429,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 143,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 143,online,No (skip to question 11),,,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 1430,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1431,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1432,online,Yes – Please list the activities __________________,Daily,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1433,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 1434,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1435,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1436,online,Yes – Please list the activities __________________,Once per week,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1437,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1438,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1439,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 144,in_person,Yes – Please list the activities __________________,A few times per week,3 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 144,online,,,,,,,,
Participant 1440,online,Yes – Please list the activities __________________,Daily,,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1441,online,No (skip to question 11),,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1442,online,Yes – Please list the activities __________________,Daily,2 days,Yes,0 days,I am not familiar with this rating,I am not familiar with this rating,Air quality information
Participant 1443,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,5 days,Yellow – Moderate,Red – Unhealthy,Air quality information
Participant 1444,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1445,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1446,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Yellow – Moderate,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1447,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Maroon – Hazardous,Maroon – Hazardous,Air quality information
Participant 1448,online,No (skip to question 11),,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1449,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 145,in_person,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 145,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1450,online,No (skip to question 11),,,No,0 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1451,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1452,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke forecasts
Participant 1453,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1454,online,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Red – Unhealthy,Maroon – Hazardous,Advice from your doctor
Participant 1455,online,Yes – Please list the activities __________________,A few times per week,,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1456,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1457,online,Yes – Please list the activities __________________,Daily,1 days,Yes,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1458,online,Yes – Please list the activities __________________,A few times per week,3 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 1459,online,Yes – Please list the activities __________________,Daily,0 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 146,in_person,No (skip to question 11),,2 days,Yes,6 days and more,Yellow – Moderate,Red – Unhealthy,Air quality information
Participant 146,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1460,online,Yes – Please list the activities __________________,Daily,,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1461,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1462,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1463,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,5 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1464,online,Yes – Please list the activities __________________,Once per week,2 days,Yes,5 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1465,online,,,,,,,,
Participant 1466,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1467,online,No (skip to question 11),,,No,0 days,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1468,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,5 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1469,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Smoke forecasts
Participant 147,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 147,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1470,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1471,online,Yes – Please list the activities __________________,Daily,,No,0 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 1472,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1473,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1474,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1475,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1476,online,Yes – Please list the activities __________________,Daily,,,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1477,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1478,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1479,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 148,in_person,No (skip to question 11),A few times per week,3 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 148,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1480,online,Yes – Please list the activities __________________,Daily,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1481,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1482,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1483,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1484,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Red – Unhealthy,Maroon – Hazardous,
Participant 1485,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 1486,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1487,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 1488,online,Yes – Please list the activities __________________,Daily,6-7 days,No,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1489,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 149,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 149,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1490,online,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1491,online,Yes – Please list the activities __________________,Daily,0 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1492,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1493,online,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1494,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,I am not familiar with this rating,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1495,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1496,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1497,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke forecasts
Participant 1498,online,Yes – Please list the activities __________________,A few times per week,,,,I am not familiar with this rating,I am not familiar with this rating,
Participant 1499,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke forecasts
Participant 15,in_person,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,
Participant 15,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 150,in_person,No (skip to question 11),"Less than once per week, but more than once per month",,No,0 days,Red – Unhealthy,Red – Unhealthy,Advice from family and friends
Participant 150,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1500,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Yellow – Moderate,Yellow – Moderate,Smoke-related health problem statistics
Participant 1501,online,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1502,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1503,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1504,online,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1505,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1506,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1507,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1508,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1509,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 151,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 151,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1510,online,Yes – Please list the activities __________________,Daily,4-5 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 1511,online,,,,,,,,
Participant 1512,online,Yes – Please list the activities __________________,Daily,3 days,Yes,4 days,Purple – Very Unhealthy,Red – Unhealthy,
Participant 1513,online,Yes – Please list the activities __________________,Daily,1 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1514,online,Yes – Please list the activities __________________,Once per week,,Yes,3 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1515,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1516,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from family and friends
Participant 1517,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1518,online,Yes – Please list the activities __________________,Once per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1519,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Advice from your doctor
Participant 152,in_person,Yes – Please list the activities __________________,Once per week,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
