participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 127,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 127,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1270,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1271,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1272,No,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1273,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1274,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1276,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1277,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1278,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 128,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1280,No,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1284,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1287,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1288,Yes,~1-3 per summer,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 129,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1296,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1297,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 13,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 13,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 130,No,~1-3 per summer,I am not familiar with this rating,I am not familiar with this rating
Participant 130,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1300,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1301,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1304,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1308,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1309,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 131,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 131,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1310,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1314,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1315,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1317,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1318,Yes,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1319,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 132,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 132,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1320,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1321,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1322,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1325,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1326,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1327,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1329,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 133,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1331,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1335,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1339,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 134,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 134,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1341,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1342,Yes,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1343,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1344,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1346,Yes,Daily,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1347,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1349,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 135,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1351,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1352,Yes,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1353,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1355,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1357,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1359,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 136,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 136,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1361,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1362,No,~1-3 per month,"301+:
Hazardous","301+:
Hazardous"
Participant 1363,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1364,No,~1 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1365,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1366,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1367,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1368,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1369,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 137,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 137,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1370,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1371,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1372,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1373,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1374,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1375,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1376,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1377,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1378,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1379,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 138,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 138,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1380,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1381,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1382,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1383,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1384,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1385,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1386,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1387,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1388,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1389,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 139,No,~1-3 per summer,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 139,No,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 1390,No,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1391,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1392,No,~1-3 per summer,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1393,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1394,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1395,No,~1 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 1396,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1397,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1398,Yes,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1399,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 14,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 14,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 140,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 140,Yes,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1402,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1403,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1405,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1406,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1407,Yes,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1408,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1409,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 141,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 141,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1410,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1411,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","301+:
Hazardous"
Participant 1412,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1413,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1414,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1415,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1416,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1417,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1418,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1419,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 142,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 142,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1420,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1421,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1423,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1424,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1425,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1426,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1427,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1428,Yes,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1429,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 143,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1430,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1431,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1432,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1433,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1434,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1435,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1436,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1437,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1438,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1439,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 144,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1440,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1442,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1443,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 1444,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1445,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1446,No,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 1447,Yes,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1449,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 145,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 145,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1451,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1452,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1453,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1454,No,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1455,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1456,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1457,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1458,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1459,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 146,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1460,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1461,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1462,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1463,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1464,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1466,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1468,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1469,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 147,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 147,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1470,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1471,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1472,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1473,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1474,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1475,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1477,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1478,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1479,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 148,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 148,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1480,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1481,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1482,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1483,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1484,No,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1485,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1486,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1487,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1488,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1489,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 149,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 149,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1490,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1491,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1492,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1493,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1494,Yes,~3 per week,I am not familiar with this rating,"101-150:
Unhealthy for
 Sensitive Grps."
Participant 1495,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1496,No,~1-3 per summer,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1497,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1499,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 15,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 15,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 150,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 150,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1500,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 1501,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1502,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1503,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1504,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1505,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1506,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1507,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1508,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 1509,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 151,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 151,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1510,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1512,Yes,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 1513,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1514,Yes,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1515,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1516,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1517,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1518,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1519,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 152,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1522,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1523,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1525,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1526,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1527,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1529,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 153,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 153,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1530,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1531,No,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1533,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1534,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 1535,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1536,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1537,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1539,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 154,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1540,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1542,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1543,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1544,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1545,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1546,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1547,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1548,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 155,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 155,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1550,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1551,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1553,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1555,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1557,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1558,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1559,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 156,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 156,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1560,No,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1561,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1562,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
